                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.3542,                  1.059,                 1.4034,                0.81632,                0.75983,                0.81823,                0.39548,                   1.74,                 1.0147,                 1.8403,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.3628,                 1.0451,                 1.3861,                0.81251,                0.81538,                0.84422,                0.39099,                 1.7704,                 1.0215,                 1.9126,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.3318,                0.95468,                  1.356,                0.89045,                0.77564,                0.83875,                 0.3921,                 1.8557,                0.96645,                 2.0042,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.3892,                 1.0159,                 1.3989,                0.87928,                0.81538,                0.87022,                0.40948,                 1.7948,                0.93485,                 1.9179,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.3523,                 1.0023,                 1.3668,                0.75723,                0.78205,                0.79953,                0.35938,                 1.8447,                 1.0395,                 1.9264,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.3522,                 1.0671,                 1.3919,                0.89637,                0.82694,                0.86917,                0.40599,                 1.7086,                0.93172,                 1.8356,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.3398,                 1.0124,                  1.382,                0.81271,                0.85812,                0.85655,                0.37655,                 1.8476,                 0.9103,                  1.961,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.2962,                0.96903,                 1.3457,                0.83591,                0.84231,                0.84056,                0.41911,                 1.7839,                0.95425,                 1.9338,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.3397,                0.96348,                 1.3369,                0.77608,                0.85342,                0.83784,                0.39381,                 1.8527,                 1.0608,                 2.0264,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.3164,                0.96261,                 1.3473,                0.74624,                 0.8312,                0.80608,                0.38415,                 1.8431,                0.95968,                 1.9588,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.3036,                0.97024,                 1.3525,                0.76348,                0.81173,                0.80819,                0.38544,                 1.8099,                0.98915,                 1.9386,              0.0010646,              0.0010646,              0.0010646
                     76,                 1.2845,                0.91913,                 1.3368,                0.81569,                0.78343,                0.81336,                0.38801,                  1.887,                 1.0485,                 1.9601,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.3089,                0.96921,                 1.3808,                0.80484,                0.82495,                0.81378,                0.40252,                 1.8423,                0.94793,                 1.9859,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.2639,                0.91041,                  1.319,                0.78009,                0.86923,                0.85268,                0.38649,                 1.7901,                0.97318,                  1.954,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.2963,                0.92048,                  1.346,                0.85801,                0.83748,                0.86661,                0.37708,                 1.8513,                0.96558,                 1.9551,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.2742,                0.92128,                 1.3352,                0.83541,                0.76372,                0.82926,                0.38796,                 1.8533,                0.94786,                 1.9771,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.2697,                 0.9026,                 1.3175,                0.84556,                0.80262,                0.81862,                0.38409,                 1.8511,                0.88567,                 2.0295,              0.0010151,              0.0010151,              0.0010151
                     82,                 1.2501,                 0.9369,                 1.3225,                0.87184,                0.73914,                0.85713,                0.37887,                 1.8385,                 0.9125,                 2.0106,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.2771,                0.86998,                 1.3175,                0.83231,                0.82009,                0.86577,                0.40597,                 1.8065,                0.98658,                 2.0394,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.2105,                0.87285,                 1.2735,                0.86279,                0.77606,                0.85747,                0.38436,                 1.8445,                0.96444,                 2.0456,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.2127,                 0.8712,                 1.2792,                0.85284,                0.78774,                0.81812,                0.39445,                 1.8062,                0.87748,                 1.9677,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.2336,                 0.8693,                 1.3177,                 0.8002,                0.75812,                0.78803,                 0.3626,                 1.8301,                0.98865,                 1.9951,             0.00097386,             0.00097386,             0.00097386
                     87,                  1.188,                0.84946,                 1.2622,                0.75094,                0.77564,                0.77505,                0.36763,                 1.8246,                0.97877,                 2.0031,             0.00096561,             0.00096561,             0.00096561
                     88,                 1.2404,                 0.8584,                 1.3213,                0.76042,                0.83549,                0.84313,                0.39873,                 1.8022,                0.98617,                 2.0423,             0.00095736,             0.00095736,             0.00095736
                     89,                 1.2449,                0.87389,                 1.3158,                0.80685,                0.76453,                0.78017,                0.37491,                 1.8211,                0.93747,                 1.9497,             0.00094911,             0.00094911,             0.00094911
                     90,                 1.2111,                0.83802,                 1.2791,                0.80278,                0.79957,                 0.8154,                0.37726,                 1.8561,                0.94184,                 2.0005,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.2162,                0.81985,                 1.2696,                0.78723,                0.81159,                0.81959,                0.38183,                 1.8196,                0.93733,                  2.014,              0.0009326,              0.0009326,              0.0009326
                     92,                 1.1708,                 0.8051,                 1.2673,                0.77824,                 0.8312,                0.81387,                0.39358,                 1.7969,                 1.0159,                 1.9727,             0.00092435,             0.00092435,             0.00092435
                     93,                 1.2356,                0.89735,                 1.3028,                 0.8433,                0.85687,                  0.883,                0.40867,                 1.7767,                0.91317,                 1.9248,              0.0009161,              0.0009161,              0.0009161
                     94,                 1.1849,                0.83509,                 1.2646,                0.80392,                0.80014,                0.84232,                0.40011,                 1.7345,                0.95017,                 1.9079,             0.00090785,             0.00090785,             0.00090785
